Product_No,Product_tech_specs
1010,Bohrloch-Durchmesser: 20 mm|Gesamtlänge: 160 mm|Inhalt: 1 St.|Produkt-Art: Beton-Spiralbohrer
1011,"Arbeits-Länge: 36 mm|Bohrloch-Durchmesser: 3.30 mm|DIN-Norm: DIN 338|Gesamtlänge: 75 mm|Inhalt: 1 St.||||Produkt-Art,: Metall-Spiralbohrer|Schaftdurchmesser: 6.35 mm"
1012,"Arbeits-Länge: 75 mm|Bohrloch-Durchmesser: 8 mm|DIN-Norm: DIN 338|Gesamtlänge: 117 mm|Inhalt: 1 St.|Material (Bohrer): HSS|Material-Eigenschaft: Cobalt|Material-Eignung: Metall, Buntmetalle, Edelstahl, Kunststoff|Produkt-Art: Metall-Spiralbohrer|Schaftdurchmesser: 8 mm|Werkzeugaufnahme (Bohrer): Zylinderschaft|Zugfestigkeit (max.): 1000 N/mm²"
1013,"Material: Chrom-Vanadium Stahl|Produkt-Art: Radsteckschlüssel|Produktabmessung, Länge: 400 mm|Schlüsselweite (Metrisch): 30 mm, 32 mm|Weitere technische Daten: 27 30X32 - GEDORE - Radsteckschlüssel LKW 6-kant 30x32 mm<br>Mit großer Kopftiefe für vorstehende Bolzen, ohne Drehstift <br>GEDORE Vanadium-Stahl 31CrV3, verchromt"
1014,"Abtrieb: 1/2"" (12.5 mm)|Antrieb: 1/2"" (12.5 mm)|Produkt-Art: Steckschlüssel-Quergriff|Produktabmessung, Länge: 300 mm"
1015,"Arbeits-Länge: 55 mm|Bohrloch-Durchmesser: 83 mm|Material (Bohrer): Hartmetall|Material-Eignung: Mauerwerk, Ziegel, Leichtbauplatten, Gipskarton, Fliesen|Produkt-Art: Lochsäge|Schaftdurchmesser: 8 mm|Weitere technische Daten: Schnitttiefe: 55 mm|Werkzeugaufnahme (Bohrer): Sechskantschaft"
1016,Bohrloch-Durchmesser: 51 mm|Material (Bohrer):         Hartmetall|Produkt-Art: Kernbohrer
1017,"Passend für (Details): Weller® Lötkolben:: MLR 80, WSP 80, MPR 80|Passend, für Marke (Löttechnik): Weller|Produkt-Art: Lötspitze|Spitzen-Größe: 1.2 mm|Spitzenform (Details): Rundform, abgeschrägt|Typ (Hersteller-Typ): LT-F"
1018,"Passend für (Details): Entlötkolben X-TOOL VARIO|Passend für Marke (Löttechnik): ERSA|Produkt-Art: Entlötspitze|Spitzen-Länge: 79.25 mm|Spitzenform (Details): Konisch|Typ (Hersteller-Typ): 0742ED2351H/SB|Weitere technische Daten: Spitzengröße: Innen 2,0 mm, Außen: 5,1 mm<br>Passend für: Lötstation i-CON1 V|Lötstation i-CON2 V|Lötstation i-CON VARIO 2|Lötstation i-CON VARIO 4."
1019,Anzeige (digital/mechanisch/analog): digital|Betriebsspannung: 230 V|Leistung (max.): 250 W|Produkt-Art: Lötstation|Temperatur (max.): +450 °C|Temperatur (min.): +150 °C
1020,Ausladungs-Maße: 120 mm|. Gewicht: 3.826 kg|Inhalt: 1 St.|Produkt-Art: Greifarmzwinge|Spann-Kraft: 7500 N|Spann-Weite (max.): 1000 mm|||||Weitere technische Daten:      Schiene: 28 x 11 mm.   
1021,"Ausladungs-Maße: 120 mm|Gewicht: 1.245 kg|Inhalt: 1 St.|Produkt-Art:     ,Tiefspann-Schraubzwinge|Spann-Weite, (max.): 250 mm"
1022,"Herstellerfarbe: Schwarz|Produkt-Art: Werkzeugtafel|Produktabmessung, Breite: 310 mm|Produktabmessung, Höhe: 55 mm|Produktabmessung, Länge: 375 mm"
1023,"Anwendungsbereich (Werkzeug): Universal|Gewicht: 3800 g|Herstellerfarbe: Silber|Material: Aluminium|Produkt-Art: Werkzeugkoffer unbestückt|Produktabmessung, Breite: 455 mm|Produktabmessung, Höhe: 165 mm|Produktabmessung, Tiefe: 330 mm"
1024,"Ausführung (Gewindebohrer): Mittelschneider|DIN-Norm: DIN 352, DIN 2184|Drehrichtung Gewinde: Rechtsschneidend|Gewinde-Länge: 22 mm|Gewinde-Maß: 1/4""|Gewindeart: UNC|Kernloch-Größe: 5.2 mm|Material (Bohrer): HSS|Produkt-Art: Handgewindebohrer|Produktabmessung, Länge: 56 mm|Schaftvierkant: 4.9 mm|Steigung: 20 mm"
1025,"Anschnittform: 35° RSP|DIN-Norm: DIN 371|Drehrichtung Gewinde: Rechtsschneidend,|Gewinde-Länge: 19 mm|Gewinde-Maß: M6|Gewindeart: metrisch|Material (Bohrer): HSS-E|||Produkt-Art:      Maschinengewindebohrer,|Steigung: 1 mm"
